row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
117,UHA-0158,9,3.07E-04,1.67E-06,UHA-0012,9,9,0,7.51E+00,UHA-0339,9,9,3,-4.17E+00,0.00E+00,,9,3,-3.11E+00,0.00E+00,
118,UHA-0159,9,5.92E-04,1.40E-04,UHA-0012,9,9,1,2.20E+00,UHA-0260,9,9,0,7.08E+00,7.08E+00,*,9,1,9.47E+00,8.21E+00,*
119,UHA-0160,9,3.15E-04,5.15E-06,UHA-0012,9,9,0,1.08E+01,UHA-0257,9,9,0,7.13E+00,7.13E+00,*,9,0,1.20E+01,1.20E+01,*
120,UHA-0161,9,7.90E-04,4.99E-06,UHA-0012,9,9,0,8.79E+00,UHA-0260,9,9,1,3.97E+00,1.72E+00,+,9,1,7.80E+00,7.24E+00,*
121,UHA-0426,9,1.31E-03,1.31E-05,UHA-0009,9,9,0,8.27E+00,UHA-0259,9,9,2,-2.69E+00,0.00E+00,,9,2,-2.13E+00,0.00E+00,
122,UHA-0427,9,2.57E-04,5.26E-07,UHA-0015,9,9,0,7.76E+00,UHA-0260,9,9,1,6.75E+00,3.04E+00,+,9,1,8.74E+00,8.74E+00,*
123,UHA-0428,9,2.40E-04,5.66E-06,UHA-0015,9,9,0,8.01E+00,UHA-0266,9,9,2,-1.25E+00,0.00E+00,,9,2,1.25E-01,1.25E-01,-
124,UHA-0429,9,2.14E-04,9.13E-06,UHA-0012,9,9,0,1.13E+01,UHA-0258,9,9,0,8.09E+00,8.09E+00,*,9,0,1.23E+01,1.23E+01,*
125,UHA-0430,9,2.21E-04,1.14E-06,UHA-0012,9,9,0,8.15E+00,UHA-0260,9,9,1,1.80E+00,1.10E+00,-,9,1,5.21E+00,5.21E+00,*
126,UHA-0431,9,5.25E-05,6.37E-07,UHA-0012,9,9,0,1.34E+01,UHA-0260,9,9,1,2.41E+00,2.41E+00,+,9,1,5.84E+00,5.84E+00,*
127,UHA-0432,9,5.28E-04,2.09E-06,UHA-0012,9,9,0,6.07E+00,UHA-0258,9,9,1,3.81E+00,0.00E+00,,9,1,7.25E+00,7.25E+00,*
128,UHA-0433,9,1.97E-03,2.14E-05,UHA-0012,9,9,0,5.89E+00,UHA-0258,9,9,1,2.40E+00,1.31E+00,-,9,1,5.18E+00,5.18E+00,*
129,UHA-0434,9,3.43E-04,2.42E-08,UHA-0012,9,9,0,8.10E+00,UHA-0016,8,8,1,1.93E+00,0.00E+00,,8,3,-5.74E+00,0.00E+00,
130,UHA-0435,9,5.31E-05,9.23E-07,UHA-0010,9,9,1,1.74E+00,UHA-0265,9,9,3,-6.07E+00,0.00E+00,,9,4,-6.45E+00,0.00E+00,
131,UHA-0436,9,4.05E-04,8.01E-06,UHA-0010,9,9,0,9.52E+00,UHA-0259,9,9,1,3.34E+00,0.00E+00,,9,1,6.77E+00,6.77E+00,*
132,UHA-0437,9,5.20E-04,3.66E-04,UHA-0010,9,9,1,3.39E+00,UHA-0259,9,9,1,2.42E+00,0.00E+00,,9,2,4.77E+00,4.06E+00,*
133,UHA-0438,9,2.94E-04,5.66E-05,UHA-0010,9,9,1,1.60E+00,UHA-0259,9,9,2,-2.10E+00,0.00E+00,,9,2,4.43E+00,3.42E+00,*
134,UHA-0439,9,6.56E-05,3.00E-05,UHA-0010,9,9,1,3.84E+00,UHA-0260,9,9,0,1.08E+01,1.08E+01,*,9,1,1.12E+01,8.72E+00,*
135,UHA-0440,9,8.90E-04,4.28E-06,UHA-0260,9,9,0,8.61E+00,UHA-0351,9,9,1,3.73E+00,9.39E-01,-,9,1,7.01E+00,7.01E+00,*
136,UHA-0441,9,3.62E-04,1.43E-06,UHA-0260,9,9,0,6.88E+00,UHA-0261,9,9,0,1.25E+01,9.12E+00,*,9,0,1.45E+01,1.45E+01,*
