Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0163,9,UHA-0012,9,9,0, 1.11796961153415E+0001,UHA-0257,9,9,1, 1.76754187260403E+0000, 1.76754187260403E+0000,+,9,1, 5.04720765536603E+0000, 5.04720765536603E+0000,*,
UHA-0164,8,UHA-0016,8,7,0, 8.44846751218267E+0000,UHA-0264,9,8,0, 1.08971698192897E+0001, 5.08012162540814E-0001,-,8,1, 4.41104289482101E+0000, 4.83704827343323E-0001,-,
UHA-0165,9,UHA-0016,8,8,1, 9.69170159254267E-0001,UHA-0266,9,9,1, 3.40193791871651E+0000, 0.00000000000000E+0000,,9,2, 3.32264518473147E+0000, 3.32264518473147E+0000,+,
UHA-0166,9,UHA-0013,9,9,0, 8.56735264763205E+0000,UHA-0263,9,9,1, 4.79317188452507E+0000, 1.51231249333252E+0000,+,9,4,-7.08899712643509E+0000, 0.00000000000000E+0000,,
UHA-0167,9,UHA-0013,9,9,1, 2.43817094497960E+0000,UHA-0260,9,9,2,-2.22333363163188E+0000, 0.00000000000000E+0000,,9,3,-1.08890777169722E+0000, 0.00000000000000E+0000,,
UHA-0169,9,UHA-0013,9,9,0, 4.61929321492656E+0000,UHA-0269,9,9,0, 1.14133049362982E+0001, 6.11051551530544E+0000,*,9,0, 1.47328871503448E+0001, 1.47328871503448E+0001,*,
UHA-0298,9,UHA-0351,9,9,0, 1.33812890725857E+0001,UHA-0264,9,9,1,-2.02477678706124E+0000, 0.00000000000000E+0000,,9,1,-6.45452824590513E-0001, 0.00000000000000E+0000,,
UHA-0426,9,UHA-0009,9,9,0, 8.73721128002087E+0000,UHA-0258,9,9,2,-3.28373962467398E+0000, 0.00000000000000E+0000,,9,2,-2.58598991587229E+0000, 0.00000000000000E+0000,,
UHA-0427,9,UHA-0015,9,9,0, 8.29962941969749E+0000,UHA-0259,9,9,2,-3.01195983118598E+0000, 0.00000000000000E+0000,,9,3,-3.98227531689364E+0000, 0.00000000000000E+0000,,
UHA-0428,9,UHA-0015,9,9,0, 8.41403061084436E+0000,UHA-0266,9,9,2,-9.03846909345652E-0001, 0.00000000000000E+0000,,9,2, 4.43452065822243E-0001, 4.43452065822243E-0001,-,
