Tissue_ID,MT_ID,Accession_Number,PO,Species,Date,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0389,,NA,P,Quercus alba,6/12/2023,-88.06376,41.817836,50.2,50.2,0,0,0,
UHA-0390,,NA,P,Quercus alba,6/12/2023,-88.06376,41.817961,57.1,57.1,0,0,0,
UHA-0391,,NA,P,Quercus alba,6/12/2023,-88.06385,41.817913,52.4,52.4,0,0,0,
UHA-0392,,NA,P,Quercus alba,6/12/2023,-88.06367,41.817336,76.1,76.1,0,0,0,
UHA-0393,,NA,P,Quercus alba,6/12/2023,-88.06375,41.817302,71.5,71.5,0,0,0,
UHA-0398,,NA,P,Quercus macrocarpa,6/12/2023,-88.06335,41.816836,65.3,65.3,0,0,0,
UHA-0399,,NA,P,Quercus macrocarpa,6/12/2023,-88.0661538,41.8171599,92.9,92.9,0,0,0,"Old coords: (41.817021,-88.066352)"
UHA-0417,,NA,P,Quercus alba,6/12/2023,-88.0639,41.817109,61.1,62.1,60.1,0,0,
UHA-0418,,NA,P,Quercus alba,6/12/2023,-88.06396,41.817178,67.9,67.9,0,0,0,
UHA-0419,,NA,P,Quercus alba,6/12/2023,-88.06419,41.816857,59.6,59.6,0,0,0,
UHA-0420,,NA,P,Quercus macrocarpa,6/12/2023,-88.06417,41.816727,58.5,58.5,0,0,0,
UHA-0421,,NA,P,Quercus macrocarpa,6/12/2023,-88.06417,41.816624,50.5,50.5,0,0,0,
UHA-0422,,NA,P,Quercus alba,6/12/2023,-88.06418,41.816514,99.1,99.1,0,0,0,
UHA-0423,,NA,P,Quercus alba,6/12/2023,-88.06416,41.816475,55.4,55.4,0,0,0,
UHA-0424,,NA,P,Quercus macrocarpa,6/12/2023,-88.06434,41.816443,61.9,61.9,0,0,0,
UHA-0425,,NA,P,Quercus macrocarpa,6/12/2023,-88.06443,41.816484,81.4,81.4,0,0,0,
UHA-0461,,NA,P,Quercus alba,9/14/2023,-88.06055052,41.81410261,66.7,66.7,0,0,0,
UHA-0462,,NA,P,Quercus alba,9/14/2023,-88.06054422,41.8139892,80.5,80.5,0,0,0,
UHA-0463,,NA,P,Quercus macrocarpa,9/14/2023,-88.06052961,41.81389979,34.4,34.4,0,0,0,
UHA-0464,,NA,P,Quercus macrocarpa,9/14/2023,-88.06047029,41.81373604,96.5,96.5,0,0,0,
UHA-0465,,NA,P,Quercus macrocarpa,9/14/2023,-88.06058162,41.81371187,31.5,31.5,0,0,0,
UHA-0466,,NA,P,Quercus macrocarpa,9/14/2023,-88.06059105,41.813456,61.4,61.4,0,0,0,
UHA-0467,,NA,P,Quercus macrocarpa,9/14/2023,-88.06057382,41.81325802,119.9,119.9,0,0,0,
UHA-0468,,NA,P,Quercus macrocarpa,9/14/2023,-88.06048119,41.8131454,65.2,65.2,0,0,0,
UHA-0469,,NA,P,Quercus macrocarpa,9/14/2023,-88.06041357,41.81338574,79.2,79.2,0,0,0,
UHA-0470,,NA,P,Quercus macrocarpa,9/14/2023,-88.0603423,41.8134267,72.2,72.2,0,0,0,
UHA-0471,,NA,P,Quercus macrocarpa,9/14/2023,-88.06024449,41.81361455,74.6,74.6,0,0,0,
UHA-0472,,NA,P,Quercus macrocarpa,9/14/2023,-88.0602524,41.8132696,65.4,65.4,0,0,0,
UHA-0473,,NA,P,Quercus macrocarpa,9/14/2023,-88.06022775,41.8132837,76.4,76.4,0,0,0,
UHA-0474,,NA,P,Quercus macrocarpa,9/14/2023,-88.06001685,41.81384106,41.1,41.1,0,0,0,
UHA-0475,,NA,P,Quercus macrocarpa,9/14/2023,-88.05988183,41.81384017,91.9,91.9,0,0,0,
UHA-0476,,122-88*1,P,Quercus muehlenbergii,7/9/2024,-88.0714096,41.8145509,52.95,68.7,37.2,0,0,
UHA-0477,,NA,P,Quercus alba,7/9/2024,-88.0636392,41.8174632,26.2,26.2,0,0,0,"Correct from ID, Quercus bicolor"
UHA-0478,,NA,P,Quercus alba,7/9/2024,-88.0636744,41.8174734,32.9,32.9,0,0,0,
UHA-0479,,NA,P,Quercus alba,7/9/2024,-88.0636972,41.8174385,37.3,37.3,0,0,0,
UHA-0480,,NA,P,Quercus alba,7/9/2024,-88.0638149,41.817445,43.2,43.2,0,0,0,
UHA-0481,,NA,P,Quercus macrocarpa,7/9/2024,-88.0638411,41.817393,42.5,42.5,0,0,0,Corrected ID Quercus muehlenbergii
