Tissue ID,Accession_Number,PO,Species,Date of Collection,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0212,173-2001*2,P,Quercus dentata,06/08/2023,-88.064301,41.817535,17.3,17.3,0,0,0,
UHA-0213,210-91*1,P,Quercus prinoides,06/07/23,-88.062858,41.814562,20.5,29.8,11.2,0,0,
UHA-0214,210-91*5,P,Quercus prinoides,06/07/23,-88.062814,41.814484,28.7,28.7,0,0,0,
UHA-0215,699-50*1,P,Quercus x humidicola,5/31/23,-88.06631,41.811194,31.2,31.2,0,0,0,
UHA-0216,699-50*2,P,Quercus x humidicola,5/31/23,-88.066252,41.81119,59.3,59.3,0,0,0,
UHA-0217,699-50*3,P,Quercus x humidicola,5/31/23,-88.066283,41.810901,61.8,61.8,0,0,0,
UHA-0218,699-50*4,P,Quercus x humidicola,5/31/23,-88.066205,41.81098,68.8,68.8,0,0,0,
UHA-0219,699-50*5,P,Quercus x humidicola,5/31/23,-88.066246,41.811069,39.7,39.7,0,0,0,
UHA-0220,699-50*7,P,Quercus x humidicola,5/31/23,-88.066181,41.811162,40.8,40.8,0,0,0,
UHA-0221,35-2007*3,P,Quercus x macdanielii,5/31/23,-88.070197,41.816389,18.7,18.7,0,0,0,
UHA-0222,35-2007*4,P,Quercus x macdanielii,5/31/23,-88.070287,41.816345,17.9,17.9,0,0,0,
UHA-0223,1279-2004*10,P,Quercus macrocarpa,06/07/23,-88.069986,41.813794,29.7,29.7,0,0,0,
UHA-0224,1279-2004*2,P,Quercus macrocarpa,06/01/23,-88.068949,41.813826,33.8,33.8,0,0,0,
UHA-0225,1279-2004*3,P,Quercus macrocarpa,06/01/23,-88.068608,41.813516,28.8,28.8,0,0,0,
UHA-0226,1279-2004*7,P,Quercus macrocarpa,06/01/23,-88.068387,41.813409,32.1,32.1,0,0,0,
UHA-0227,1279-2004*8,P,Quercus macrocarpa,06/01/23,-88.068512,41.813491,27.6,27.6,0,0,0,
UHA-0228,1279-2004*9,P,Quercus macrocarpa,06/01/23,-88.069115,41.813764,31,31,0,0,0,
UHA-0230,16-2006*1,P,Quercus macrocarpa,5/31/23,-88.070629,41.816114,32.3,32.3,0,0,0,
UHA-0231,478-2001*1,P,Quercus macrocarpa,06/01/23,-88.065699,41.814998,34.8,34.8,0,0,0,
UHA-0232,478-2001*3,P,Quercus macrocarpa,06/01/23,-88.065708,41.81511,27.7,27.7,0,0,0,
UHA-0233,527-2000*1,P,Quercus macrocarpa,06/07/2023,-88.064893,41.814113,29.6,29.6,0,0,0,
UHA-0234,527-2000*3,P,Quercus macrocarpa,9/1/23,-88.06334,41.814841,21,21,0,0,0,
UHA-0235,527-2000*4,P,Quercus macrocarpa,9/1/23,-88.063468,41.814898,27.5,27.5,0,0,0,
UHA-0236,527-2000*5,P,Quercus macrocarpa,9/1/23,-88.063326,41.814932,33.2,33.2,0,0,0,
UHA-0237,527-2000*6,P,Quercus macrocarpa,06/01/23,-88.065539,41.814788,31.9,31.9,0,0,0,
UHA-0238,537-82*14,P,Quercus macrocarpa,05/31/23,-88.06646,41.81765,53.5,53.5,0,0,0,
UHA-0239,537-82*2,P,Quercus macrocarpa,06/01/23,-88.066492,41.814429,42.1,42.1,0,0,0,
UHA-0240,537-82*3,P,Quercus macrocarpa,06/01/23,-88.066813,41.814478,54.2,54.2,0,0,0,
UHA-0241,54-2007*3,P,Quercus macrocarpa,5/31/23,-88.070338,41.815844,18.8,18.8,0,0,0,
UHA-0242,548-82*2,P,Quercus macrocarpa,06/01/23,-88.065516,41.814031,37.2,37.2,0,0,0,
UHA-0243,548-82*4,P,Quercus macrocarpa,06/01/23,-88.065452,41.814057,40.3,40.3,0,0,0,
UHA-0244,548-82*5,P,Quercus macrocarpa,06/01/23,-88.065456,41.814153,33.5,33.5,0,0,0,
UHA-0245,582-2004*1,P,Quercus macrocarpa,06/08/23,-88.070533,41.815609,38,38,0,0,0,
