"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0110","UHA-0257","UHA-0256","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.065297,41.814547,"474-2001*1",29.5,NA,NA,NA,FALSE,"549-82","474-20",68.8535010855577,FALSE
"UHA-0111","UHA-0257","UHA-0351","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0112","UHA-0257","UHA-0265","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",52.5,NA,NA,NA,FALSE,"549-82","704-46",330.942741099015,FALSE
"UHA-0113","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0114","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0115","UHA-0351","UHA-0303","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus macrocarpa",-88.0638,41.813691,NA,112.4,NA,NA,NA,NA,"549-82",NA,155.333535633812,TRUE
"UHA-0116","UHA-0351","UHA-0260","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",61.6013448946619,FALSE
"UHA-0118","UHA-0351","UHA-0260","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",61.6013448946619,FALSE
"UHA-0119","UHA-0351","UHA-0257","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0120","UHA-0351","UHA-0257","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0121","UHA-0351","UHA-0257","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0122","UHA-0351","UHA-0257","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0123","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0124","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0125","UHA-0010","UHA-0224","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus macrocarpa",-88.068949,41.813826,"1279-2004*2",33.8,NA,NA,NA,FALSE,"704-46","1279-2",330.623473471234,TRUE
