13,417,2,155,262,,,,,,,,,,,,,,,,,,,,,,,
,,,O,UHA-0351,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,QS03797_1,QS03797_2,MSQ13_1,MSQ13_2,QrZAG20_1,QrZAG20_2,QS00314_1,QS00314_2,QpZAG9_1,QpZAG9_2,QS1904_1,QS1904_2,MSQ4_1,MSQ4_2,QpZAG110_1,QpZAG110_2,QS00562_1,QS00562_2,QpZAG119_1,QpZAG119_2,QrZAG87_1,QrZAG87_2,QpZAG1-5_1,QpZAG1-5_2,QM69-2M1_1,QM69-2M1_2
UHA-0212,P,3,3,7,7,4,4,3,3,1,4,1,1,0,0,3,4,3,3,8,3,0,0,3,4,15,1
UHA-0213,P,3,3,3,11,5,5,3,6,13,13,2,2,4,6,3,5,2,2,4,4,4,3,6,6,12,14
UHA-0214,P,3,3,3,10,5,5,6,6,18,9,2,4,6,14,3,4,2,2,4,6,4,3,7,4,12,14
UHA-0215,P,3,3,13,13,5,4,3,3,13,16,2,2,8,9,3,5,2,2,8,8,4,4,3,4,9,17
UHA-0216,P,4,3,13,3,4,9,2,2,13,5,2,1,0,0,3,5,0,0,6,3,4,4,3,7,12,9
UHA-0217,P,3,3,3,11,6,4,3,3,13,13,2,2,3,12,3,5,2,2,6,3,4,4,3,3,10,15
UHA-0218,P,4,4,3,11,4,4,2,2,13,17,2,2,3,16,3,5,2,2,23,6,4,4,6,3,10,14
UHA-0219,P,4,3,13,17,8,7,3,3,13,10,2,2,9,9,3,4,0,0,7,9,0,0,3,7,9,9
UHA-0220,P,3,3,13,9,1,8,2,2,13,9,2,2,3,19,3,3,2,2,8,6,4,4,3,3,14,9
UHA-0221,P,3,2,13,12,4,15,3,3,12,14,2,2,5,5,4,4,2,2,6,6,15,15,9,7,11,9
UHA-0222,P,0,0,13,12,4,15,3,3,12,14,2,2,5,5,4,4,2,2,6,6,15,15,9,7,11,9
UHA-0223,P,2,5,13,11,5,3,3,3,15,21,2,2,3,3,7,4,2,2,7,9,11,11,9,7,10,14
UHA-0224,P,4,3,13,15,12,6,3,3,13,15,2,2,12,6,2,2,3,3,32,32,4,4,8,10,6,2
UHA-0225,P,4,2,14,11,13,3,2,2,12,4,2,2,8,8,3,7,2,2,22,3,4,4,10,5,9,9
