Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0098,13, 7.20660963435720E-0004, 3.29224390575426E-0007,UHA-0257,13,13,1, 1.35960297199500E+0000,UHA-0260,13,13,1, 4.55926633898916E+0000, 4.55926633898916E+0000,*,13,2, 9.14708886602531E+0000, 9.14708886602531E+0000,*,
UHA-0099,13, 1.01220255365501E-0004, 1.17099571416598E-0006,UHA-0257,13,13,0, 9.29875326918200E+0000,UHA-0258,12,12,3,-2.69798173989634E+0000, 0.00000000000000E+0000,,12,3,-2.79852752300459E+0000, 0.00000000000000E+0000,,
UHA-0100,13, 3.48441974517635E-0005, 6.25285864554859E-0008,UHA-0257,13,13,0, 9.60144542985420E+0000,UHA-0256,11,11,3,-4.96468920514651E+0000, 0.00000000000000E+0000,,11,3,-3.69196976729047E+0000, 0.00000000000000E+0000,,
UHA-0101,11, 5.59016855205051E-0004, 9.84805717078815E-0005,UHA-0257,13,11,2,-2.46846875103923E+0000,UHA-0260,13,11,2,-2.57460857165226E+0000, 0.00000000000000E+0000,,11,3, 3.30626293510678E+0000, 3.30626293510678E+0000,*,
UHA-0102,13, 6.13368841827874E-0005, 5.04459044238617E-0007,UHA-0257,13,13,1, 3.35964746553523E+0000,UHA-0351,13,13,1, 8.74529779585506E+0000, 8.74529779585506E+0000,*,13,3, 5.78345959077083E+0000, 5.78345959077083E+0000,*,
UHA-0103,13, 4.36812940891896E-0004, 6.34441984451280E-0007,UHA-0257,13,13,3,-8.18642471493735E+0000,UHA-0260,13,13,2,-2.55978725275213E+0000, 0.00000000000000E+0000,,13,5, 1.62469205530326E-0001, 1.62469205530326E-0001,+,
UHA-0105,13, 3.35373184896950E-0005, 2.27565000506334E-0007,UHA-0257,13,13,0, 1.14845068830525E+0001,UHA-0268,13,13,3,-1.70746038176905E+0000, 0.00000000000000E+0000,,13,4,-7.23384631269202E+0000, 0.00000000000000E+0000,,
UHA-0106,13, 1.45612379081858E-0004, 3.33006480644805E-0005,UHA-0257,13,13,2,-9.68536450041704E-0001,UHA-0260,13,13,1, 2.82961231985317E+0000, 1.94805705344860E+0000,+,13,3, 4.42080184352794E+0000, 4.42080184352794E+0000,*,
UHA-0109,13, 9.54493380238907E-0005, 1.18908118852002E-0007,UHA-0257,13,13,1, 2.93238432429700E+0000,UHA-0261,13,13,2,-7.75212442932397E-0002, 0.00000000000000E+0000,,13,4,-1.45181876351454E+0000, 0.00000000000000E+0000,,
UHA-0110,13, 3.66390878216223E-0005, 1.87219644865830E-0006,UHA-0257,13,13,0, 1.12885582404137E+0001,UHA-0256,11,11,3,-6.49984473023206E+0000, 0.00000000000000E+0000,,11,3,-6.33431954988620E+0000, 0.00000000000000E+0000,,
